,Name,GP,MIN,PTS,REB,AST,STL,BLK,TO,FG%,FT%,3P%
0,Armando Bacot F,29,22.7,12.3,7.8,0.8,0.7,0.9,1.4,62.8,66.4,0.0
1,Caleb Love G,29,27.7,10.5,2.6,3.6,1.2,0.3,3.1,31.6,80.8,26.6
2,Garrison Brooks F,28,28.0,10.2,6.9,1.4,0.7,0.8,1.6,46.9,60.6,50.0
3,Day'Ron Sharpe F,29,19.2,9.5,7.6,1.4,0.8,0.9,2.0,51.9,50.5,0.0
4,R.J. Davis G,29,22.3,8.4,2.3,1.9,0.7,0.1,1.9,35.0,82.1,32.3
5,Kerwin Walton G,29,21.0,8.2,1.7,1.8,0.5,0.2,1.2,44.4,84.0,42.0
6,Leaky Black G,29,27.6,5.6,4.9,2.4,1.2,0.3,1.3,36.7,69.2,22.2
7,Walker Kessler F,29,8.8,4.4,3.2,0.3,0.5,0.9,0.6,57.8,53.7,25.0
8,Andrew Platek G,29,13.1,3.7,1.7,0.9,0.4,0.2,0.8,39.4,83.3,32.7
9,Anthony Harris G,16,11.0,3.2,1.0,1.3,0.6,0.0,0.7,44.2,52.9,25.0
10,Puff Johnson G,14,4.1,1.1,0.5,0.1,0.1,0.1,0.1,42.9,100.0,11.1
11,Creighton Lebo G,7,1.6,0.9,0.3,0.0,0.0,0.0,0.1,75.0,0.0,0.0
12,Walker Miller F,7,2.6,0.6,0.4,0.0,0.0,0.1,0.1,33.3,100.0,0.0
13,Sterling Manley F,4,1.0,0.5,0.3,0.0,0.0,0.8,0.0,50.0,0.0,0.0
14,K.J. Smith G,9,2.3,0.3,0.6,0.0,0.0,0.0,0.1,16.7,50.0,0.0
15,Ryan McAdoo F,9,1.8,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0
16,Duwe Farris F,6,1.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Total,28,,75.7,43.2,15.5,7.2,4.7,14.8,44.1,66.8,31.7
